	Temp_C	Hall_U	Versorg_U
	161,982572	-0,000974	0,238600
	157,898580	-0,000974	0,254911
	150,955793	-0,000974	0,298748
	144,319305	-0,000974	0,353798
	138,091217	-0,000974	0,417004
	132,067328	-0,000974	0,490405
	126,349739	-0,000974	0,574000
	121,040549	4,621648E-5	0,666770
	116,139758	0,001066	0,768716
	111,238967	0,003106	0,878817
	106,746575	0,004126	0,996054
	102,254184	0,006166	1,111252
	98,170191	0,010246	1,223392
	94,392498	0,012286	1,325337
	90,819005	0,017385	1,417088
	87,449711	0,020445	1,493547
	84,386717	0,023505	1,556753
	81,527923	0,026565	1,607726
	78,771228	0,030644	1,644426
	76,218732	0,031664	1,672971
	73,768337	0,035744	1,692340
	71,522141	0,037784	1,704574
	69,378045	0,038804	1,711710
	67,438149	0,039824	1,714768
	65,702452	0,041864	1,714768
	63,762556	0,041864	1,712730
	62,026859	0,042884	1,707632
	60,699561	0,042884	1,702535
	59,270164	0,043904	1,696418
	57,840767	0,044924	1,690302
	56,615569	0,044924	1,683165
	55,390371	0,045944	1,675010
	54,165174	0,046964	1,667874
	53,144176	0,045944	1,659718
	52,225277	0,045944	1,652582
	51,204279	0,046964	1,645446
	50,387481	0,046964	1,638309
	49,570682	0,047983	1,632193
	48,651784	0,046964	1,626076
	47,937085	0,046964	1,619959
	47,324486	0,047983	1,614862
	46,711888	0,047983	1,608745
	46,099289	0,047983	1,602629
	45,486690	0,047983	1,596512
	44,874091	0,047983	1,592434
	44,261492	0,047983	1,588356
	43,750993	0,047983	1,583259
	43,444694	0,046964	1,578162
	42,934195	0,047983	1,575103
	42,423696	0,047983	1,572045
	42,117396	0,049003	1,567967
	41,708997	0,047983	1,564909
	41,504797	0,047983	1,560831
	41,096398	0,046964	1,559812
	40,687999	0,049003	1,555734
	40,483799	0,046964	1,552675
	40,177500	0,047983	1,550636
	39,871200	0,047983	1,546559
	39,769101	0,049003	1,546559
	39,564901	0,049003	1,543500
	39,360701	0,047983	1,541461
	38,952302	0,047983	1,538403
	38,850202	0,047983	1,537384
	38,441803	0,047983	1,536364
	38,441803	0,047983	1,534325
	38,237603	0,047983	1,533306
	38,135504	0,047983	1,530247
	37,931304	0,047983	1,529228
	37,829204	0,047983	1,528208
	37,829204	0,047983	1,527189
	37,522905	0,047983	1,525150
	37,318705	0,047983	1,524131
	37,318705	0,047983	1,523111
	37,216605	0,049003	1,522092
	37,216605	0,047983	1,522092
	37,012406	0,049003	1,519033
	36,910306	0,047983	1,519033
	36,808206	0,047983	1,519033
	36,808206	0,047983	1,518014
