# U_Probe=12,07V I_Probe=0.025A 
I_B	U_B	U_Hall	U_Versorg
4,516	5,26	-0,0474	1,132
4,052	4,73	-0,0429	1,131
3,496	4,09	-0,0377	1,129
3,038	3,56	-0,0333	1,128
2,508	2,94	-0,0271	1,126
2,014	2,36	-0,0227	1,125
1,570	1,84	-0,0173	1,124
1,010	1,19	-0,0114	1,124
0,521	0,62	-0,0059	1,123
0,000	0,01	0,0000	1,123
# UMPOLUNG U_Probe=12,07V I_Probe=0.025A 
0,504	0,60	0,0057	1,124
0,999	1,17	0,0113	1,124
1,530	1,78	0,0174	1,125
2,005	2,33	0,0228	1,126
2,517	2,93	0,0283	1,128
3,009	3,50	0,0337	1,130
3,505	4,09	0,0391	1,132
4,064	4,76	0,0454	1,135
4,477	5,25	0,0496	1,136
