# Versorgung U=12.10V I=0.025A
I_B	U_B	U_Hall	U_Versorg
4,425	5,46	-0,0553	1,503
3,966	4,91	-0,0515	1,501
3,488	4,32	-0,0464	1,496
3,028	3,74	-0,0417	1,492
2,451	3,02	-0,0343	1,487
2,031	2,50	-0,0287	1,484
1,505	1,84	-0,0220	1,482
1,008	1,24	-0,0156	1,480
0,564	0,70	-0,0095	1,479
0,000	0,01	-0,0016	1,478
-0,499	0,62	0,0054	1,479
-1,005	1,23	0,0126	1,482
-1,549	1,89	0,0199	1,485
-2,081	2,53	0,0276	1,489
-2,597	3,14	0,0343	1,496
-2,993	3,62	0,0385	1,500
-3,527	4,27	0,0447	1,506
-3,999	4,84	0,0499	1,512
-4,525	5,49	0,0552	1,518
