time_s_since_removal	time_s_since_start	Counts
2348.18	600.01	1059
2948.19	1200.02	1070
3548.21	1800.03	1023
4148.22	2400.04	1030
4748.23	3000.05	1034
5348.24	3600.06	999
5948.25	4200.07	1058
6548.26	4800.09	930
7148.27	5400.10	976
7748.28	6000.11	969
8348.30	6600.12	980
8948.31	7200.13	895
9548.32	7800.14	985
10148.33	8400.15	909
10748.34	9000.16	903
11348.35	9600.17	955
11948.36	10200.19	864
12548.37	10800.20	911
13148.38	11400.21	875
13748.39	12000.22	988
14348.40	12600.23	875
14948.42	13200.24	1229
