V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	Ausgangskennlinie 0.600V
M2	Ausgangskennlinie 0.630V
M3	Ausgangskennlinie 0.660V
M4	Ausgangskennlinie 0.700V

M1 - U [V]	M1 - I [µA]	M2 - U [V]	M2 - I [µA]	M3 - U [V]	M3 - I [µA]	M4 - U [V]	M4 - I [µA]
0,010	0,00	0,010	0,00	0,010	0,00	0,010	0,00
0,018	0,31	0,018	0,77	0,018	1,54	0,018	1,54
0,021	0,60	0,021	1,13	0,021	2,17	0,021	2,23
0,025	1,00	0,025	1,63	0,025	2,88	0,025	3,13
0,030	1,50	0,030	2,34	0,030	3,78	0,030	4,34
0,035	2,00	0,035	3,25	0,035	4,75	0,035	5,75
0,040	2,56	0,040	4,34	0,040	5,88	0,040	7,34
0,045	3,25	0,045	5,63	0,045	7,25	0,045	9,13
0,050	4,09	0,050	7,03	0,050	8,78	0,050	11,06
0,055	5,13	0,055	8,50	0,055	10,38	0,055	13,13
0,060	6,28	0,060	10,00	0,060	12,03	0,060	15,44
0,065	7,50	0,065	11,50	0,065	13,75	0,065	18,13
0,070	8,75	0,070	13,00	0,070	15,66	0,070	21,25
0,075	10,00	0,075	14,50	0,075	17,88	0,075	24,88
0,080	11,27	0,080	16,04	0,080	20,38	0,080	28,81
0,085	12,58	0,085	17,67	0,085	23,13	0,085	32,88
0,090	13,95	0,090	19,40	0,090	26,06	0,090	37,00
0,095	15,38	0,095	21,25	0,095	29,13	0,095	41,13
0,100	16,85	0,100	23,21	0,100	32,31	0,100	45,32
0,105	18,38	0,105	25,25	0,105	35,63	0,105	49,65
0,110	19,85	0,110	27,40	0,110	39,00	0,110	54,05
0,115	21,21	0,115	29,67	0,115	42,38	0,115	58,45
0,120	22,40	0,120	32,01	0,120	45,65	0,120	62,82
0,125	23,38	0,125	34,38	0,125	48,71	0,125	67,13
0,130	24,25	0,130	36,59	0,130	51,54	0,130	71,43
0,135	25,13	0,135	38,50	0,135	54,13	0,135	75,80
0,140	25,97	0,140	40,06	0,140	56,54	0,140	80,15
0,145	26,75	0,145	41,25	0,145	58,88	0,145	84,40
0,150	27,44	0,150	42,25	0,150	61,10	0,150	88,44
0,155	28,00	0,155	43,25	0,155	63,21	0,155	92,18
0,160	28,50	0,160	44,28	0,160	65,11	0,160	95,62
0,165	29,00	0,165	45,38	0,165	66,75	0,165	98,79
0,170	29,50	0,170	46,44	0,170	68,22	0,170	101,71
0,176	30,00	0,175	47,38	0,175	69,63	0,175	104,38
0,183	30,50	0,180	48,19	0,180	70,94	0,180	106,77
0,190	31,00	0,185	48,88	0,185	72,13	0,185	108,88
0,198	31,44	0,190	49,41	0,190	73,13	0,190	110,71
0,205	31,75	0,196	49,75	0,195	73,88	0,195	112,29
0,213	31,94	0,203	50,00	0,200	74,47	0,200	113,67
0,221	32,00	0,211	50,25	0,205	75,00	0,205	114,88
0,231	32,00	0,220	50,56	0,210	75,50	0,210	115,97
0,241	32,00	0,229	51,00	0,215	76,00	0,215	117,00
0,253	32,00	0,237	51,44	0,220	76,50	0,220	117,94
0,265	32,00	0,245	51,75	0,226	77,00	0,225	118,75
0,277	32,00	0,253	51,94	0,233	77,44	0,230	119,44
0,289	32,00	0,261	52,00	0,240	77,75	0,235	120,00
