V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	0V
M2	-1V
M3	-2V
M4	-2.5V

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
0,000	0,0000	0,000	0,0000	0,000	0,0000	0,000	0,0000
0,015	0,0563	0,015	0,0546	0,015	0,0241	0,015	0,0138
0,022	0,0821	0,022	0,0778	0,022	0,0354	0,022	0,0187
0,030	0,1143	0,030	0,1048	0,030	0,0500	0,030	0,0238
0,040	0,1544	0,040	0,1368	0,040	0,0685	0,040	0,0294
0,050	0,1945	0,050	0,1656	0,050	0,0875	0,050	0,0338
0,060	0,2342	0,060	0,1921	0,060	0,1060	0,060	0,0375
0,070	0,2732	0,070	0,2169	0,070	0,1233	0,070	0,0413
0,080	0,3122	0,080	0,2418	0,080	0,1390	0,080	0,0453
0,090	0,3515	0,090	0,2685	0,090	0,1525	0,090	0,0500
0,100	0,3901	0,100	0,2970	0,100	0,1644	0,100	0,0544
0,110	0,4270	0,110	0,3269	0,110	0,1750	0,110	0,0575
0,120	0,4611	0,120	0,3559	0,120	0,1853	0,120	0,0594
0,130	0,4915	0,130	0,3819	0,130	0,1963	0,130	0,0600
0,140	0,5193	0,140	0,4055	0,140	0,2072	0,140	0,0606
0,150	0,5456	0,150	0,4275	0,150	0,2175	0,150	0,0625
0,160	0,5719	0,160	0,4499	0,160	0,2269	0,160	0,0656
0,170	0,5994	0,170	0,4748	0,170	0,2350	0,170	0,0700
0,180	0,6289	0,180	0,5005	0,180	0,2428	0,180	0,0744
0,190	0,6614	0,190	0,5256	0,190	0,2513	0,190	0,0775
0,200	0,6959	0,200	0,5490	0,200	0,2603	0,200	0,0794
0,210	0,7316	0,210	0,5694	0,210	0,2700	0,210	0,0800
0,220	0,7665	0,220	0,5876	0,220	0,2797	0,220	0,0800
0,230	0,7985	0,230	0,6042	0,230	0,2888	0,230	0,0800
0,240	0,8276	0,240	0,6198	0,240	0,2969	0,240	0,0800
0,250	0,8539	0,250	0,6350	0,250	0,3038	0,250	0,0800
0,260	0,8788	0,260	0,6501	0,260	0,3094	0,260	0,0800
0,270	0,9038	0,270	0,6654	0,270	0,3138	0,270	0,0800
0,280	0,9292	0,280	0,6811	0,280	0,3175	0,280	0,0800
0,290	0,9554	0,290	0,6975	0,290	0,3212	0,290	0,0800
0,300	0,9815	0,300	0,7143	0,300	0,3253	0,300	0,0800
0,310	1,0063	0,310	0,7313	0,310	0,3300	0,310	0,0800
0,320	1,0299	0,320	0,7480	0,320	0,3344	0,320	0,0800
0,330	1,0525	0,330	0,7642	0,330	0,3375	0,330	0,0800
0,340	1,0751	0,340	0,7792	0,340	0,3394	0,340	0,0800
0,350	1,0985	0,350	0,7925	0,350	0,3400	0,350	0,0800
0,360	1,1220	0,360	0,8044	0,360	0,3400	0,360	0,0800
0,370	1,1444	0,370	0,8150	0,370	0,3400	0,370	0,0800
0,380	1,1659	0,380	0,8254	0,380	0,3406	0,380	0,0800
0,390	1,1869	0,390	0,8367	0,390	0,3425	0,390	0,0800
0,400	1,2080	0,400	0,8486	0,400	0,3456	0,400	0,0800
0,410	1,2300	0,410	0,8613	0,410	0,3500	0,410	0,0800
0,420	1,2519	0,420	0,8736	0,420	0,3544	0,420	0,0806
0,430	1,2725	0,430	0,8850	0,430	0,3575	0,430	0,0825
0,440	1,2922	0,440	0,8949	0,440	0,3594	0,440	0,0856
0,450	1,3113	0,450	0,9029	0,450	0,3600	0,450	0,0900
0,460	1,3297	0,460	0,9098	0,460	0,3600	0,461	0,0944
0,470	1,3475	0,470	0,9163	0,470	0,3600	0,473	0,0975
0,480	1,3644	0,480	0,9228	0,480	0,3600	0,486	0,0994
0,490	1,3800	0,490	0,9300	0,490	0,3600	0,500	0,1000
0,500	1,3951	0,500	0,9372	0,500	0,3600	0,514	0,1000
0,510	1,4104	0,510	0,9437	0,510	0,3600	0,527	0,1000
0,520	1,4255	0,520	0,9500	0,520	0,3600	0,539	0,1000
0,530	1,4400	0,530	0,9563	0,530	0,3600	0,550	0,1000
0,540	1,4540	0,540	0,9628	0,540	0,3606	0,560	0,1000
0,550	1,4675	0,550	0,9700	0,550	0,3625	0,570	0,1000
0,560	1,4811	0,560	0,9772	0,560	0,3656	0,580	0,1000
0,570	1,4954	0,570	0,9838	0,570	0,3700	0,590	0,1000
0,580	1,5095	0,580	0,9894	0,580	0,3744	0,600	0,1000
0,590	1,5225	0,590	0,9938	0,590	0,3775	0,610	0,1000
0,600	1,5337	0,600	0,9975	0,600	0,3794	0,620	0,1000
0,610	1,5425	0,610	1,0012	0,610	0,3800	0,630	0,1000
0,620	1,5500	0,620	1,0053	0,620	0,3800	0,640	0,1000
0,630	1,5575	0,630	1,0100	0,630	0,3800	0,650	0,1000
0,640	1,5660	0,640	1,0144	0,640	0,3800	0,660	0,1000
0,650	1,5767	0,650	1,0175	0,650	0,3800	0,670	0,1000
0,660	1,5886	0,660	1,0194	0,660	0,3800	0,680	0,1000
0,670	1,6013	0,670	1,0200	0,670	0,3800	0,690	0,1000
0,680	1,6136	0,680	1,0206	0,680	0,3800	0,700	0,1000
0,690	1,6250	0,690	1,0225	0,690	0,3800	0,710	0,1000
0,700	1,6349	0,700	1,0256	0,700	0,3800	0,720	0,1000
0,710	1,6429	0,710	1,0300	0,710	0,3800	0,730	0,1000
0,720	1,6498	0,720	1,0344	0,720	0,3800	0,740	0,1000
0,730	1,6563	0,730	1,0375	0,730	0,3800	0,750	0,1000
0,740	1,6628	0,740	1,0394	0,740	0,3800	0,760	0,1000
0,750	1,6700	0,750	1,0400	0,750	0,3800	0,770	0,1000
0,760	1,6772	0,760	1,0406	0,760	0,3800	0,780	0,1000
0,770	1,6838	0,770	1,0425	0,770	0,3800	0,790	0,1000
0,780	1,6900	0,780	1,0456	0,780	0,3800	0,800	0,1000
0,790	1,6963	0,790	1,0500	0,790	0,3800	0,810	0,1000
0,800	1,7025	0,800	1,0544	0,800	0,3806	0,820	0,1000
0,810	1,7087	0,810	1,0575	0,810	0,3825	0,830	0,1000
0,820	1,7147	0,820	1,0594	0,820	0,3856	0,840	0,1000
0,830	1,7200	0,830	1,0600	0,830	0,3900	0,850	0,1000
0,840	1,7250	0,840	1,0606	0,840	0,3944	0,860	0,1000
0,850	1,7300	0,850	1,0625	0,850	0,3975	0,870	0,1000
0,860	1,7350	0,860	1,0656	0,860	0,3994	0,880	0,1000
0,870	1,7400	0,870	1,0700	0,870	0,4000	0,890	0,1000
0,880	1,7450	0,880	1,0744	0,880	0,4000	0,900	0,1000
0,890	1,7500	0,890	1,0775	0,890	0,4000	0,910	0,1000
0,900	1,7544	0,900	1,0794	0,900	0,4000	0,921	0,1000
0,910	1,7575	0,910	1,0800	0,910	0,4000	0,933	0,1000
0,920	1,7594	0,920	1,0800	0,920	0,4000	0,946	0,1000
0,930	1,7600	0,930	1,0800	0,930	0,4000	0,960	0,1000
0,940	1,7606	0,941	1,0800	0,940	0,4000	0,974	0,1000
0,950	1,7625	0,953	1,0800	0,950	0,4000	0,988	0,1000
0,960	1,7656	0,966	1,0800	0,960	0,4000	0,999	0,1006
0,970	1,7700	0,980	1,0800	0,970	0,4000	1,010	0,1025
0,980	1,7744	0,994	1,0800	0,980	0,4000	1,020	0,1056
0,990	1,7775	1,008	1,0800	0,990	0,4000	1,030	0,1100
1,000	1,7800	1,019	1,0806	1,000	0,4000	1,040	0,1144
1,010	1,7825	1,030	1,0825	1,010	0,4000	1,050	0,1175
1,020	1,7856	1,040	1,0856	1,020	0,4000	1,060	0,1194
1,030	1,7900	1,050	1,0900	1,030	0,4000	1,070	0,1200
1,040	1,7947	1,060	1,0944	1,040	0,4000	1,080	0,1200
1,050	1,7988	1,070	1,0975	1,050	0,4000	1,090	0,1200
1,061	1,8025	1,080	1,0994	1,060	0,4000	1,100	0,1200
1,073	1,8063	1,090	1,1000	1,070	0,4000	1,110	0,1200
1,086	1,8100	1,100	1,1000	1,080	0,4000	1,120	0,1200
1,100	1,8137	1,110	1,1000	1,090	0,4000	1,130	0,1200
1,114	1,8169	1,120	1,1000	1,100	0,4000	1,140	0,1200
1,127	1,8188	1,130	1,1000	1,110	0,4000	1,150	0,1200
1,139	1,8197	1,140	1,1000	1,121	0,4000	1,160	0,1200
1,150	1,8200	1,150	1,1000	1,133	0,4000	1,170	0,1200
1,160	1,8200	1,160	1,1000	1,146	0,4000	1,180	0,1200
1,170	1,8200	1,170	1,1000	1,160	0,4000	1,190	0,1200
1,180	1,8206	1,180	1,1000	1,174	0,4000	1,200	0,1200
1,190	1,8225	1,190	1,1000	1,188	0,4000	1,210	0,1200
1,200	1,8256	1,200	1,1000	1,199	0,4000	1,220	0,1200
1,210	1,8300	1,210	1,1000	1,210	0,4000	1,230	0,1200
1,220	1,8344	1,221	1,1000	1,220	0,4006	1,240	0,1200
1,230	1,8375	1,232	1,1000	1,230	0,4025	1,250	0,1200
1,240	1,8394	1,246	1,1000	1,240	0,4056	1,261	0,1200
1,250	1,8400	1,260	1,1000	1,250	0,4100	1,272	0,1200
1,260	1,8400	1,274	1,1000	1,260	0,4144	1,286	0,1200
1,270	1,8400	1,288	1,1000	1,270	0,4175	1,300	0,1200
1,280	1,8406	1,299	1,1006	1,280	0,4194	1,314	0,1200
1,290	1,8425	1,310	1,1025	1,290	0,4200	1,328	0,1200
1,300	1,8456	1,320	1,1056	1,300	0,4200	1,339	0,1200
1,310	1,8500	1,330	1,1100	1,310	0,4200	1,350	0,1200
1,320	1,8544	1,340	1,1144	1,320	0,4200	1,360	0,1200
1,330	1,8575	1,350	1,1175	1,330	0,4200	1,370	0,1200
1,340	1,8594	1,360	1,1194	1,340	0,4200	1,380	0,1200
1,350	1,8600	1,370	1,1200	1,350	0,4200	1,390	0,1200
1,360	1,8600	1,380	1,1200	1,360	0,4200	1,400	0,1200
1,370	1,8600	1,390	1,1200	1,370	0,4200	1,410	0,1200
1,380	1,8600	1,400	1,1200	1,380	0,4200	1,420	0,1200
1,390	1,8600	1,410	1,1200	1,390	0,4200	1,430	0,1200
1,400	1,8600	1,420	1,1200	1,400	0,4200	1,440	0,1200
1,410	1,8600	1,430	1,1200	1,410	0,4200	1,450	0,1200
1,420	1,8600	1,440	1,1200	1,420	0,4200	1,461	0,1200
1,430	1,8600	1,450	1,1200	1,430	0,4200	1,472	0,1200
1,440	1,8600	1,461	1,1200	1,440	0,4200	1,486	0,1200
1,450	1,8600	1,472	1,1200	1,450	0,4200	1,500	0,1200
1,460	1,8600	1,486	1,1200	1,461	0,4200	1,514	0,1200
1,470	1,8600	1,500	1,1200	1,472	0,4200	1,528	0,1200
1,481	1,8606	1,514	1,1200	1,486	0,4200	1,539	0,1200
1,492	1,8625	1,528	1,1200	1,500	0,4200	1,550	0,1200
1,506	1,8656	1,539	1,1200	1,514	0,4200	1,560	0,1200
1,520	1,8700	1,550	1,1200	1,528	0,4200	1,570	0,1200
1,534	1,8744	1,560	1,1200	1,539	0,4200	1,580	0,1200
1,548	1,8775	1,570	1,1200	1,550	0,4200	1,590	0,1200
1,559	1,8794	1,580	1,1200	1,560	0,4200	1,600	0,1200
1,570	1,8800	1,590	1,1200	1,570	0,4200	1,610	0,1200
1,580	1,8800	1,600	1,1200	1,580	0,4200	1,620	0,1200
1,590	1,8800	1,610	1,1200	1,590	0,4200	1,630	0,1200
1,600	1,8800	1,620	1,1200	1,600	0,4200	1,640	0,1200
1,610	1,8800	1,630	1,1200	1,610	0,4200	1,650	0,1200
1,621	1,8800	1,640	1,1200	1,620	0,4200	1,660	0,1200
1,633	1,8800	1,650	1,1200	1,630	0,4200	1,670	0,1200
1,646	1,8800	1,660	1,1200	1,640	0,4200	1,680	0,1200
1,660	1,8800	1,670	1,1200	1,650	0,4200	1,690	0,1200
1,674	1,8800	1,680	1,1206	1,660	0,4200	1,700	0,1200
1,688	1,8800	1,690	1,1225	1,670	0,4200	1,710	0,1200
1,699	1,8800	1,700	1,1256	1,681	0,4200	1,720	0,1200
1,710	1,8800	1,710	1,1300	1,693	0,4200	1,730	0,1200
1,720	1,8800	1,721	1,1344	1,706	0,4200	1,740	0,1200
1,730	1,8800	1,732	1,1375	1,720	0,4200	1,750	0,1200
1,740	1,8800	1,746	1,1394	1,734	0,4200	1,760	0,1200
1,750	1,8800	1,760	1,1400	1,748	0,4200	1,770	0,1200
1,760	1,8800	1,774	1,1400	1,759	0,4200	1,780	0,1200
1,770	1,8800	1,788	1,1400	1,770	0,4200	1,790	0,1200
1,780	1,8800	1,799	1,1400	1,780	0,4200	1,800	0,1200
1,790	1,8800	1,810	1,1400	1,790	0,4200	1,810	0,1200
1,800	1,8800	1,820	1,1400	1,800	0,4200	1,820	0,1200
1,810	1,8800	1,830	1,1400	1,810	0,4200	1,830	0,1200
1,820	1,8806	1,840	1,1400	1,820	0,4200	1,840	0,1200
1,830	1,8825	1,850	1,1400	1,830	0,4200	1,850	0,1200
1,840	1,8856	1,860	1,1400	1,840	0,4200	1,860	0,1200
