V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	Basis_Collector
M2	Basis_Emitter

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
0,000	0,0000	0,000	0,0000				
0,038	0,0000	0,038	0,0000				
0,055	0,0000	0,055	0,0000				
0,075	0,0000	0,075	0,0000				
0,100	0,0000	0,100	0,0000				
0,125	0,0000	0,125	0,0000				
0,150	0,0000	0,150	0,0000				
0,175	0,0000	0,175	0,0000				
0,200	0,0000	0,200	0,0000				
0,225	0,0000	0,225	0,0000				
0,250	0,0000	0,250	0,0000				
0,275	0,0000	0,275	0,0000				
0,300	0,0000	0,300	0,0000				
0,325	0,0000	0,325	0,0000				
0,350	0,0000	0,350	0,0000				
0,375	0,0000	0,375	0,0000				
0,400	0,0000	0,400	0,0000				
0,425	0,0000	0,425	0,0000				
0,450	0,0000	0,450	0,0000				
0,475	0,0000	0,475	0,0000				
0,500	0,0012	0,500	0,0009				
0,525	0,0047	0,525	0,0037				
0,550	0,0122	0,550	0,0106				
0,575	0,0254	0,575	0,0237				
0,600	0,0445	0,600	0,0443				
0,625	0,0697	0,625	0,0733				
0,650	0,1003	0,650	0,1107				
0,675	0,1352	0,675	0,1560				
0,700	0,1740	0,700	0,2090				
0,725	0,2158	0,725	0,2695				
0,750	0,2611	0,750	0,3369				
0,775	0,3104	0,775	0,4106				
0,800	0,3634	0,800	0,4898				
0,825	0,4202	0,825	0,5738				
0,850	0,4795	0,850	0,6615				
0,875	0,5400	0,875	0,7519				
0,900	0,6014	0,900	0,8442				
0,925	0,6635	0,925	0,9375				
0,950	0,7261	0,950	1,0320				
0,975	0,7893	0,975	1,1281				
1,000	0,8531	1,000	1,2265				
1,025	0,9175	1,025	1,3279				
1,050	0,9827	1,050	1,4313				
1,075	1,0489	1,075	1,5357				
1,100	1,1158	1,100	1,6399				
1,125	1,1827	1,125	1,7426				
1,150	1,2499	1,150	1,8441				
1,175	1,3173	1,175	1,9448				
1,200	1,3854	1,200	2,0454				
1,225	1,4545	1,225	2,1465				
1,250	1,5240	1,250	2,2485				
1,275	1,5932	1,275	2,3519				
1,300	1,6618	1,300	2,4573				
1,325	1,7293	1,325	2,5651				
1,350	1,7965	1,350	2,6744				
1,375	1,8640	1,375	2,7844				
1,400	1,9326	1,400	2,8937				
1,425	2,0027	1,425	3,0014				
1,450	2,0740	1,450	3,1053				
1,475	2,1461	1,475	3,2036				
1,500	2,2186	1,495	3,2793				
1,525	2,2911	1,512	3,3371				
1,550	2,3630	1,550	3,4500				
1,575	2,4334						
1,600	2,5024						
1,625	2,5699						
1,650	2,6373						
1,675	2,7060						
1,700	2,7763						
1,725	2,8483						
1,750	2,9194						
1,775	2,9869						
1,795	3,0388						
1,812	3,0776						
1,850	3,1500						
