Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,46 V	-0,02 V	2,08 V	-2,04 V	10,0 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,000	0,08	0,06
0,001	0,20	0,08
0,002	0,32	0,08
0,003	0,46	0,08
0,004	0,58	0,08
0,005	0,70	0,08
0,006	0,82	0,08
0,007	0,94	0,10
0,008	1,06	0,10
0,009	1,16	0,10
0,010	1,26	0,10
0,011	1,36	0,10
0,012	1,46	0,10
0,013	1,56	0,10
0,014	1,64	0,10
0,015	1,72	0,10
0,016	1,78	0,10
0,017	1,84	0,10
0,018	1,90	0,10
0,019	1,96	0,10
0,020	2,00	0,10
0,021	2,02	0,08
0,022	2,04	0,08
0,023	2,06	0,08
0,024	2,08	0,08
0,025	2,08	0,08
0,026	2,08	0,06
0,027	2,04	0,06
0,028	2,02	0,06
0,029	1,98	0,06
0,030	1,94	0,04
0,031	1,88	0,04
0,032	1,82	0,04
0,033	1,76	0,02
0,034	1,68	0,02
0,035	1,60	0,02
0,036	1,50	0,02
0,037	1,40	0,00
0,038	1,30	0,00
0,039	1,22	0,00
0,040	1,10	-0,02
0,041	0,98	-0,02
0,042	0,86	-0,02
0,043	0,72	-0,04
0,044	0,60	-0,04
0,045	0,46	-0,04
0,046	0,34	-0,04
0,047	0,20	-0,06
0,048	0,06	-0,06
0,049	-0,08	-0,06
0,050	-0,22	-0,06
0,051	-0,36	-0,08
0,052	-0,46	-0,08
0,053	-0,60	-0,08
0,054	-0,74	-0,08
0,055	-0,86	-0,08
0,056	-0,98	-0,10
0,057	-1,10	-0,10
0,058	-1,20	-0,10
0,059	-1,30	-0,10
0,060	-1,40	-0,10
0,061	-1,50	-0,10
0,062	-1,58	-0,10
0,063	-1,66	-0,10
0,064	-1,74	-0,10
0,065	-1,78	-0,10
0,066	-1,84	-0,10
0,067	-1,90	-0,10
0,068	-1,94	-0,10
0,069	-1,98	-0,10
0,070	-2,00	-0,10
0,071	-2,02	-0,08
0,072	-2,04	-0,08
0,073	-2,04	-0,08
0,074	-2,04	-0,08
0,075	-2,00	-0,08
0,076	-2,02	-0,08
0,077	-2,00	-0,06
0,078	-1,94	-0,06
0,079	-1,92	-0,06
0,080	-1,88	-0,06
0,081	-1,82	-0,04
0,082	-1,76	-0,04
0,083	-1,70	-0,04
0,084	-1,64	-0,02
0,085	-1,56	-0,02
0,086	-1,48	-0,02
0,087	-1,40	0,00
0,088	-1,28	0,00
0,089	-1,22	0,00
0,090	-1,10	0,00
0,091	-1,00	0,02
0,092	-0,90	0,02
0,093	-0,78	0,02
0,094	-0,66	0,04
0,095	-0,54	0,04
0,096	-0,42	0,04
0,097	-0,30	0,06
0,098	-0,18	0,06
0,099	-0,06	0,06
0,100	0,08	0,06
0,101	0,22	0,08
0,102	0,32	0,08
0,103	0,46	0,08
0,104	0,58	0,08
0,105	0,70	0,08
0,106	0,82	0,08
0,107	0,94	0,10
0,108	1,06	0,10
0,109	1,16	0,10
0,110	1,26	0,10
0,111	1,36	0,10
0,112	1,46	0,10
0,113	1,56	0,10
0,114	1,64	0,10
0,115	1,72	0,10
0,116	1,80	0,10
0,117	1,86	0,10
0,118	1,90	0,10
0,119	1,96	0,10
0,120	2,00	0,08
0,121	2,02	0,08
0,122	2,06	0,08
0,123	2,06	0,08
0,124	2,06	0,08
0,125	2,06	0,08
0,126	2,06	0,06
0,127	2,04	0,06
0,128	2,02	0,06
0,129	1,98	0,06
0,130	1,94	0,04
0,131	1,88	0,04
0,132	1,82	0,04
0,133	1,76	0,02
0,134	1,68	0,02
0,135	1,60	0,02
0,136	1,50	0,02
0,137	1,42	0,00
0,138	1,30	0,00
0,139	1,20	0,00
0,140	1,10	-0,02
0,141	0,98	-0,02
0,142	0,86	-0,02
0,143	0,72	-0,04
0,144	0,60	-0,04
0,145	0,46	-0,04
0,146	0,34	-0,04
0,147	0,20	-0,06
0,148	0,06	-0,06
0,149	-0,08	-0,06
0,150	-0,22	-0,06
0,151	-0,34	-0,08
0,152	-0,48	-0,08
0,153	-0,60	-0,08
0,154	-0,74	-0,08
0,155	-0,84	-0,08
0,156	-0,98	-0,10
0,157	-1,10	-0,10
0,158	-1,20	-0,10
0,159	-1,30	-0,10
0,160	-1,40	-0,10
0,161	-1,50	-0,10
0,162	-1,58	-0,10
0,163	-1,66	-0,10
0,164	-1,74	-0,10
0,165	-1,80	-0,10
0,166	-1,86	-0,10
0,167	-1,92	-0,10
0,168	-1,92	-0,10
0,169	-1,98	-0,10
0,170	-2,00	-0,10
0,171	-2,02	-0,08
0,172	-2,04	-0,08
0,173	-2,04	-0,08
0,174	-2,04	-0,08
0,175	-2,04	-0,08
0,176	-2,02	-0,06
0,177	-1,98	-0,06
0,178	-1,96	-0,06
0,179	-1,92	-0,06
0,180	-1,90	-0,06
0,181	-1,82	-0,04
0,182	-1,76	-0,04
0,183	-1,70	-0,04
0,184	-1,64	-0,02
0,185	-1,56	-0,02
0,186	-1,48	-0,02
0,187	-1,40	0,00
0,188	-1,30	0,00
0,189	-1,20	0,00
0,190	-1,12	0,00
0,191	-1,00	0,02
0,192	-0,90	0,02
0,193	-0,80	0,02
0,194	-0,66	0,04
0,195	-0,54	0,04
0,196	-0,42	0,04
0,197	-0,30	0,06
0,198	-0,18	0,06
0,199	-0,06	0,06
0,200	0,08	0,06
0,201	0,20	0,08
0,202	0,34	0,08
0,203	0,46	0,08
0,204	0,58	0,08
0,205	0,70	0,08
0,206	0,82	0,08
0,207	0,94	0,10
0,208	1,06	0,10
0,209	1,16	0,10
0,210	1,26	0,10
0,211	1,38	0,10
0,212	1,46	0,10
0,213	1,56	0,10
0,214	1,64	0,10
0,215	1,72	0,10
0,216	1,78	0,10
0,217	1,86	0,10
0,218	1,90	0,10
0,219	1,96	0,10
0,220	2,00	0,08
0,221	2,02	0,08
0,222	2,06	0,08
0,223	2,06	0,08
0,224	2,08	0,08
0,225	2,08	0,08
0,226	2,06	0,06
0,227	2,04	0,06
0,228	2,02	0,06
0,229	1,98	0,06
0,230	1,96	0,04
0,231	1,88	0,04
0,232	1,84	0,04
0,233	1,76	0,02
0,234	1,68	0,02
0,235	1,60	0,02
0,236	1,50	0,02
0,237	1,42	0,00
0,238	1,30	0,00
0,239	1,20	0,00
0,240	1,10	-0,02
0,241	0,98	-0,02
0,242	0,84	-0,02
0,243	0,74	-0,04
0,244	0,60	-0,04
0,245	0,48	-0,04
0,246	0,34	-0,04
0,247	0,20	-0,06
0,248	0,06	-0,06
0,249	-0,08	-0,06
0,250	-0,22	-0,06
0,251	-0,34	-0,08
0,252	-0,48	-0,08
0,253	-0,60	-0,08
0,254	-0,74	-0,08
0,255	-0,86	-0,08
0,256	-0,98	-0,10
0,257	-1,10	-0,10
0,258	-1,18	-0,10
0,259	-1,30	-0,10
0,260	-1,40	-0,10
0,261	-1,50	-0,10
0,262	-1,58	-0,10
0,263	-1,66	-0,10
0,264	-1,74	-0,10
0,265	-1,80	-0,10
0,266	-1,86	-0,10
0,267	-1,90	-0,10
0,268	-1,94	-0,10
0,269	-1,98	-0,10
0,270	-2,02	-0,10
0,271	-2,02	-0,08
0,272	-2,02	-0,08
0,273	-2,04	-0,08
0,274	-2,04	-0,08
0,275	-2,02	-0,08
0,276	-2,02	-0,08
0,277	-1,98	-0,06
0,278	-1,96	-0,06
0,279	-1,92	-0,06
0,280	-1,88	-0,04
0,281	-1,84	-0,04
0,282	-1,78	-0,04
0,283	-1,72	-0,04
0,284	-1,62	-0,02
0,285	-1,56	-0,02
0,286	-1,48	-0,02
0,287	-1,40	0,00
0,288	-1,30	0,00
0,289	-1,20	0,00
0,290	-1,12	0,02
0,291	-1,00	0,02
0,292	-0,90	0,02
0,293	-0,78	0,02
0,294	-0,66	0,04
0,295	-0,54	0,04
0,296	-0,44	0,04
0,297	-0,30	0,06
0,298	-0,18	0,06
0,299	-0,04	0,06
0,300	0,08	0,06
0,301	0,20	0,08
0,302	0,32	0,08
0,303	0,46	0,08
0,304	0,58	0,08
0,305	0,70	0,08
0,306	0,82	0,08
0,307	0,94	0,10
0,308	1,06	0,10
0,309	1,16	0,10
0,310	1,28	0,10
0,311	1,36	0,10
0,312	1,46	0,10
0,313	1,56	0,10
0,314	1,64	0,10
0,315	1,72	0,10
0,316	1,78	0,10
0,317	1,84	0,10
0,318	1,90	0,10
0,319	1,94	0,10
0,320	2,00	0,08
0,321	2,02	0,08
0,322	2,06	0,08
0,323	2,08	0,08
0,324	2,08	0,08
0,325	2,08	0,08
0,326	2,06	0,06
0,327	2,04	0,06
0,328	2,02	0,06
0,329	1,98	0,06
0,330	1,94	0,04
0,331	1,88	0,04
0,332	1,82	0,04
0,333	1,78	0,02
0,334	1,68	0,02
0,335	1,60	0,02
0,336	1,52	0,02
0,337	1,42	0,00
0,338	1,32	0,00
0,339	1,20	0,00
0,340	1,10	-0,02
0,341	0,98	-0,02
0,342	0,86	-0,02
0,343	0,72	-0,04
0,344	0,60	-0,04
0,345	0,46	-0,04
0,346	0,34	-0,04
0,347	0,20	-0,06
0,348	0,08	-0,06
0,349	-0,08	-0,06
0,350	-0,20	-0,06
0,351	-0,34	-0,08
0,352	-0,48	-0,08
0,353	-0,60	-0,08
0,354	-0,74	-0,08
0,355	-0,86	-0,08
0,356	-0,98	-0,10
0,357	-1,10	-0,10
0,358	-1,20	-0,10
0,359	-1,30	-0,10
0,360	-1,40	-0,10
0,361	-1,48	-0,10
0,362	-1,58	-0,10
0,363	-1,66	-0,10
0,364	-1,72	-0,10
0,365	-1,80	-0,10
0,366	-1,84	-0,10
0,367	-1,90	-0,10
0,368	-1,94	-0,10
0,369	-1,98	-0,10
0,370	-2,00	-0,10
0,371	-2,02	-0,08
0,372	-2,02	-0,08
0,373	-2,04	-0,08
0,374	-2,02	-0,08
0,375	-2,02	-0,08
0,376	-2,02	-0,06
0,377	-1,98	-0,06
0,378	-1,96	-0,06
0,379	-1,92	-0,06
0,380	-1,88	-0,04
0,381	-1,82	-0,04
0,382	-1,78	-0,04
0,383	-1,70	-0,04
0,384	-1,64	-0,02
0,385	-1,56	-0,02
0,386	-1,48	-0,02
0,387	-1,38	0,00
0,388	-1,30	0,00
0,389	-1,20	0,00
0,390	-1,12	0,02
0,391	-1,00	0,02
0,392	-0,90	0,02
0,393	-0,78	0,02
0,394	-0,66	0,04
0,395	-0,56	0,04
0,396	-0,42	0,04
0,397	-0,30	0,06
0,398	-0,18	0,06
0,399	-0,06	0,06
0,400	0,08	0,06
0,401	0,20	0,08
0,402	0,34	0,08
0,403	0,46	0,08
0,404	0,58	0,08
0,405	0,70	0,08
0,406	0,82	0,10
0,407	0,94	0,10
0,408	1,06	0,10
0,409	1,16	0,10
0,410	1,26	0,10
0,411	1,36	0,10
0,412	1,46	0,10
0,413	1,56	0,10
0,414	1,64	0,10
0,415	1,72	0,10
0,416	1,78	0,10
0,417	1,84	0,10
0,418	1,90	0,10
0,419	1,94	0,10
0,420	2,00	0,08
0,421	2,02	0,08
0,422	2,04	0,08
0,423	2,06	0,08
0,424	2,06	0,08
0,425	2,06	0,08
0,426	2,06	0,06
0,427	2,04	0,06
0,428	2,02	0,06
0,429	1,98	0,06
0,430	1,94	0,04
0,431	1,88	0,04
0,432	1,82	0,04
0,433	1,76	0,02
0,434	1,68	0,02
0,435	1,60	0,02
0,436	1,52	0,02
0,437	1,42	0,00
0,438	1,32	0,00
0,439	1,20	0,00
0,440	1,10	-0,02
0,441	0,98	-0,02
0,442	0,86	-0,02
0,443	0,72	-0,04
0,444	0,60	-0,04
0,445	0,46	-0,04
0,446	0,32	-0,04
0,447	0,20	-0,06
0,448	0,06	-0,06
0,449	-0,06	-0,06
0,450	-0,22	-0,08
0,451	-0,34	-0,08
0,452	-0,48	-0,08
0,453	-0,60	-0,08
0,454	-0,74	-0,08
0,455	-0,86	-0,10
0,456	-0,98	-0,10
0,457	-1,10	-0,10
0,458	-1,20	-0,10
0,459	-1,30	-0,10
0,460	-1,40	-0,10
0,461	-1,50	-0,10
0,462	-1,56	-0,10
0,463	-1,66	-0,10
0,464	-1,72	-0,10
0,465	-1,78	-0,10
0,466	-1,84	-0,10
0,467	-1,90	-0,10
0,468	-1,94	-0,10
0,469	-1,98	-0,10
0,470	-2,00	-0,10
0,471	-2,02	-0,08
0,472	-2,04	-0,08
0,473	-2,04	-0,08
0,474	-2,04	-0,08
0,475	-2,02	-0,08
0,476	-2,02	-0,06
0,477	-1,98	-0,06
0,478	-1,96	-0,06
0,479	-1,92	-0,06
0,480	-1,88	-0,04
0,481	-1,82	-0,04
0,482	-1,76	-0,04
0,483	-1,70	-0,04
0,484	-1,64	-0,02
0,485	-1,56	-0,02
0,486	-1,48	-0,02
0,487	-1,40	0,00
0,488	-1,30	0,00
0,489	-1,22	0,00
0,490	-1,10	0,00
0,491	-1,00	0,02
0,492	-0,90	0,02
0,493	-0,78	0,02
0,494	-0,66	0,04
0,495	-0,54	0,04
0,496	-0,42	0,04
0,497	-0,30	0,06
0,498	-0,18	0,06
0,499	-0,06	0,06
0,500	0,08	0,06
