Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,66 V	0,43 V	2,50 V	-1,95 V	10,0 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,000	0,10	0,06
0,001	0,20	0,06
0,002	0,35	0,06
0,003	0,55	0,08
0,004	0,70	0,08
0,005	0,85	0,08
0,006	0,95	0,08
0,007	1,10	0,08
0,008	1,25	0,10
0,009	1,40	0,10
0,010	1,55	0,10
0,011	1,65	0,10
0,012	1,75	0,10
0,013	1,85	0,10
0,014	1,95	0,10
0,015	2,05	0,10
0,016	2,15	0,10
0,017	2,25	0,10
0,018	2,30	0,10
0,019	2,40	0,10
0,020	2,45	0,10
0,021	2,50	0,10
0,022	2,50	0,08
0,023	2,50	0,08
0,024	2,50	0,08
0,025	2,50	0,08
0,026	2,50	0,08
0,027	2,50	0,06
0,028	2,50	0,06
0,029	2,50	0,06
0,030	2,50	0,06
0,031	2,45	0,04
0,032	2,45	0,04
0,033	2,45	0,04
0,034	2,45	0,04
0,035	2,40	0,02
0,036	2,35	0,02
0,037	2,30	0,02
0,038	2,25	0,00
0,039	2,20	0,00
0,040	2,10	0,00
0,041	2,00	0,00
0,042	1,90	-0,02
0,043	1,85	-0,02
0,044	1,75	-0,04
0,045	1,60	-0,04
0,046	1,45	-0,04
0,047	1,30	-0,04
0,048	1,20	-0,06
0,049	1,05	-0,06
0,050	0,95	-0,06
0,051	0,80	-0,06
0,052	0,65	-0,08
0,053	0,50	-0,08
0,054	0,35	-0,08
0,055	0,20	-0,08
0,056	0,05	-0,08
0,057	-0,10	-0,10
0,058	-0,30	-0,10
0,059	-0,45	-0,10
0,060	-0,60	-0,10
0,061	-0,70	-0,10
0,062	-0,85	-0,10
0,063	-0,95	-0,10
0,064	-1,05	-0,10
0,065	-1,20	-0,10
0,066	-1,30	-0,10
0,067	-1,35	-0,10
0,068	-1,45	-0,10
0,069	-1,55	-0,10
0,070	-1,65	-0,10
0,071	-1,75	-0,10
0,072	-1,80	-0,10
0,073	-1,80	-0,08
0,074	-1,85	-0,08
0,075	-1,85	-0,08
0,076	-1,90	-0,08
0,077	-1,90	-0,08
0,078	-1,90	-0,06
0,079	-1,85	-0,06
0,080	-1,85	-0,06
0,081	-1,85	-0,06
0,082	-1,85	-0,04
0,083	-1,80	-0,04
0,084	-1,70	-0,04
0,085	-1,65	-0,02
0,086	-1,55	-0,02
0,087	-1,50	-0,02
0,088	-1,40	0,00
0,089	-1,30	0,00
0,090	-1,20	0,00
0,091	-1,05	0,00
0,092	-0,95	0,02
0,093	-0,90	0,02
0,094	-0,75	0,02
0,095	-0,60	0,04
0,096	-0,45	0,04
0,097	-0,35	0,04
0,098	-0,20	0,04
0,099	-0,05	0,06
0,100	0,10	0,06
0,101	0,25	0,06
0,102	0,45	0,06
0,103	0,55	0,08
0,104	0,70	0,08
0,105	0,80	0,08
0,106	0,95	0,08
0,107	1,10	0,08
0,108	1,25	0,10
0,109	1,40	0,10
0,110	1,50	0,10
0,111	1,65	0,10
0,112	1,75	0,10
0,113	1,90	0,10
0,114	2,00	0,10
0,115	2,05	0,10
0,116	2,15	0,10
0,117	2,20	0,10
0,118	2,30	0,10
0,119	2,35	0,10
0,120	2,45	0,10
0,121	2,45	0,10
0,122	2,50	0,08
0,123	2,50	0,08
0,124	2,50	0,08
0,125	2,50	0,08
0,126	2,50	0,08
0,127	2,50	0,06
0,128	2,50	0,06
0,129	2,50	0,06
0,130	2,50	0,06
0,131	2,50	0,04
0,132	2,45	0,04
0,133	2,45	0,04
0,134	2,45	0,04
0,135	2,40	0,02
0,136	2,40	0,02
0,137	2,35	0,02
0,138	2,25	0,00
0,139	2,15	0,00
0,140	2,10	0,00
0,141	2,00	0,00
0,142	1,90	-0,02
0,143	1,85	-0,02
0,144	1,70	-0,04
0,145	1,60	-0,04
0,146	1,45	-0,04
0,147	1,35	-0,04
0,148	1,25	-0,06
0,149	1,10	-0,06
0,150	0,90	-0,06
0,151	0,75	-0,06
0,152	0,60	-0,08
0,153	0,45	-0,08
0,154	0,35	-0,08
0,155	0,20	-0,08
0,156	0,00	-0,08
0,157	-0,15	-0,10
0,158	-0,25	-0,10
0,159	-0,40	-0,10
0,160	-0,50	-0,10
0,161	-0,70	-0,10
