Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,70 V	1,24 V	2,45 V	-0,70 V	10,1 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,000	0,05	0,00
0,001	0,15	0,00
0,002	0,30	0,02
0,003	0,45	0,02
0,004	0,55	0,02
0,005	0,70	0,04
0,006	0,80	0,04
0,007	0,95	0,04
0,008	1,10	0,06
0,009	1,30	0,06
0,010	1,45	0,06
0,011	1,55	0,06
0,012	1,65	0,06
0,013	1,80	0,08
0,014	1,95	0,08
0,015	2,10	0,08
0,016	2,20	0,08
0,017	2,30	0,08
0,018	2,35	0,10
0,019	2,40	0,10
0,020	2,40	0,10
0,021	2,40	0,10
0,022	2,40	0,10
0,023	2,40	0,10
0,024	2,40	0,10
0,025	2,40	0,10
0,026	2,40	0,10
0,027	2,45	0,10
0,028	2,40	0,10
0,029	2,45	0,10
0,030	2,40	0,10
0,031	2,40	0,08
0,032	2,40	0,08
0,033	2,45	0,08
0,034	2,40	0,08
0,035	2,40	0,08
0,036	2,40	0,08
0,037	2,40	0,06
0,038	2,40	0,06
0,039	2,40	0,06
0,040	2,40	0,06
0,041	2,40	0,04
0,042	2,40	0,04
0,043	2,40	0,04
0,044	2,40	0,04
0,045	2,40	0,02
0,046	2,40	0,02
0,047	2,35	0,02
0,048	2,35	0,00
0,049	2,35	0,00
0,050	2,35	0,00
0,051	2,35	0,00
0,052	2,30	-0,02
0,053	2,25	-0,02
0,054	2,20	-0,04
0,055	2,20	-0,04
0,056	2,10	-0,04
0,057	2,00	-0,04
0,058	1,90	-0,06
0,059	1,80	-0,06
0,060	1,70	-0,06
0,061	1,60	-0,06
0,062	1,50	-0,08
0,063	1,40	-0,08
0,064	1,25	-0,08
0,065	1,15	-0,08
0,066	1,05	-0,08
0,067	1,00	-0,10
0,068	0,85	-0,10
0,069	0,65	-0,10
0,070	0,50	-0,10
0,071	0,40	-0,10
0,072	0,30	-0,10
0,073	0,20	-0,10
0,074	0,10	-0,10
0,075	0,00	-0,10
0,076	-0,10	-0,10
0,077	-0,15	-0,10
0,078	-0,20	-0,10
0,079	-0,25	-0,10
0,080	-0,40	-0,10
0,081	-0,50	-0,10
0,082	-0,55	-0,10
0,083	-0,60	-0,08
0,084	-0,60	-0,08
0,085	-0,60	-0,08
0,086	-0,65	-0,08
0,087	-0,65	-0,08
0,088	-0,65	-0,06
0,089	-0,60	-0,06
0,090	-0,50	-0,06
0,091	-0,50	-0,06
0,092	-0,55	-0,04
0,093	-0,50	-0,04
0,094	-0,45	-0,04
0,095	-0,35	-0,02
0,096	-0,30	-0,02
0,097	-0,20	-0,02
0,098	-0,10	0,00
0,099	0,00	0,00
0,100	0,10	0,00
0,101	0,25	0,00
0,102	0,40	0,02
0,103	0,45	0,02
0,104	0,55	0,02
0,105	0,65	0,04
0,106	0,80	0,04
0,107	0,95	0,04
0,108	1,10	0,06
0,109	1,25	0,06
0,110	1,40	0,06
0,111	1,55	0,06
0,112	1,70	0,06
0,113	1,85	0,08
0,114	2,00	0,08
0,115	2,05	0,08
0,116	2,15	0,08
0,117	2,25	0,08
0,118	2,35	0,10
0,119	2,40	0,10
0,120	2,40	0,10
0,121	2,40	0,10
0,122	2,40	0,10
0,123	2,40	0,10
0,124	2,40	0,10
0,125	2,45	0,10
0,126	2,40	0,10
0,127	2,40	0,10
0,128	2,40	0,10
0,129	2,40	0,10
0,130	2,40	0,10
0,131	2,40	0,10
0,132	2,40	0,08
0,133	2,40	0,08
0,134	2,40	0,08
0,135	2,40	0,08
0,136	2,40	0,08
0,137	2,40	0,06
0,138	2,40	0,06
0,139	2,40	0,06
0,140	2,40	0,06
0,141	2,40	0,04
0,142	2,40	0,04
0,143	2,40	0,04
0,144	2,40	0,04
0,145	2,40	0,02
0,146	2,40	0,02
0,147	2,40	0,02
0,148	2,40	0,00
0,149	2,35	0,00
0,150	2,35	0,00
0,151	2,30	0,00
0,152	2,25	-0,02
0,153	2,25	-0,02
0,154	2,20	-0,04
0,155	2,15	-0,04
0,156	2,05	-0,04
0,157	2,00	-0,04
0,158	1,90	-0,06
0,159	1,85	-0,06
0,160	1,75	-0,06
0,161	1,60	-0,06
0,162	1,45	-0,08
0,163	1,35	-0,08
0,164	1,25	-0,08
0,165	1,15	-0,08
0,166	1,05	-0,08
0,167	0,90	-0,10
0,168	0,80	-0,10
0,169	0,65	-0,10
0,170	0,55	-0,10
0,171	0,50	-0,10
0,172	0,35	-0,10
0,173	0,20	-0,10
0,174	0,05	-0,10
0,175	-0,05	-0,10
0,176	-0,10	-0,10
0,177	-0,20	-0,10
0,178	-0,25	-0,10
0,179	-0,35	-0,10
0,180	-0,40	-0,10
0,181	-0,45	-0,10
0,182	-0,50	-0,10
0,183	-0,50	-0,08
0,184	-0,60	-0,08
0,185	-0,65	-0,08
0,186	-0,70	-0,08
0,187	-0,70	-0,08
0,188	-0,65	-0,06
0,189	-0,65	-0,06
0,190	-0,60	-0,06
0,191	-0,60	-0,06
0,192	-0,55	-0,04
0,193	-0,45	-0,04
0,194	-0,35	-0,04
0,195	-0,30	-0,02
0,196	-0,30	-0,02
0,197	-0,25	-0,02
0,198	-0,15	0,00
0,199	-0,05	0,00
0,200	0,10	0,00
0,201	0,20	0,00
0,202	0,30	0,02
0,203	0,40	0,02
0,204	0,55	0,02
0,205	0,70	0,04
0,206	0,90	0,04
0,207	0,95	0,04
0,208	1,05	0,04
0,209	1,20	0,06
0,210	1,35	0,06
0,211	1,50	0,06
0,212	1,65	0,06
0,213	1,80	0,08
0,214	1,95	0,08
0,215	2,05	0,08
0,216	2,20	0,08
0,217	2,35	0,08
0,218	2,35	0,10
0,219	2,40	0,10
0,220	2,40	0,10
0,221	2,40	0,10
0,222	2,40	0,10
0,223	2,40	0,10
0,224	2,40	0,10
0,225	2,40	0,10
0,226	2,40	0,10
0,227	2,40	0,10
0,228	2,40	0,10
0,229	2,45	0,10
0,230	2,45	0,10
0,231	2,40	0,10
0,232	2,40	0,08
0,233	2,40	0,08
0,234	2,40	0,08
0,235	2,40	0,08
0,236	2,40	0,08
0,237	2,40	0,06
0,238	2,40	0,06
0,239	2,40	0,06
0,240	2,40	0,06
0,241	2,40	0,04
0,242	2,40	0,04
0,243	2,40	0,04
0,244	2,40	0,04
0,245	2,40	0,02
0,246	2,40	0,02
0,247	2,40	0,02
0,248	2,35	0,00
0,249	2,35	0,00
0,250	2,35	0,00
0,251	2,35	0,00
0,252	2,35	-0,02
0,253	2,25	-0,02
0,254	2,20	-0,04
0,255	2,10	-0,04
0,256	2,05	-0,04
0,257	2,00	-0,04
0,258	1,90	-0,06
0,259	1,80	-0,06
0,260	1,70	-0,06
0,261	1,60	-0,06
0,262	1,50	-0,08
0,263	1,45	-0,08
0,264	1,30	-0,08
0,265	1,15	-0,08
0,266	1,00	-0,08
0,267	0,85	-0,10
0,268	0,75	-0,10
0,269	0,65	-0,10
0,270	0,55	-0,10
0,271	0,40	-0,10
0,272	0,30	-0,10
0,273	0,20	-0,10
0,274	0,10	-0,10
0,275	0,05	-0,10
0,276	-0,10	-0,10
0,277	-0,20	-0,10
0,278	-0,35	-0,10
0,279	-0,40	-0,10
0,280	-0,45	-0,10
0,281	-0,50	-0,10
0,282	-0,50	-0,10
0,283	-0,55	-0,08
0,284	-0,60	-0,08
0,285	-0,60	-0,08
0,286	-0,60	-0,08
0,287	-0,60	-0,08
0,288	-0,65	-0,06
0,289	-0,70	-0,06
0,290	-0,65	-0,06
0,291	-0,60	-0,06
0,292	-0,55	-0,04
0,293	-0,50	-0,04
0,294	-0,45	-0,04
0,295	-0,40	-0,02
0,296	-0,30	-0,02
0,297	-0,20	-0,02
0,298	-0,05	0,00
0,299	0,00	0,00
0,300	0,05	0,00
0,301	0,15	0,00
0,302	0,25	0,02
0,303	0,40	0,02
0,304	0,55	0,02
0,305	0,70	0,04
0,306	0,80	0,04
0,307	0,95	0,04
0,308	1,10	0,06
0,309	1,30	0,06
