Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,25 V	-0,15 V	1,70 V	-2,00 V	9,91 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,000	0,15	0,06
0,001	0,20	0,06
0,002	0,20	0,06
0,003	0,25	0,08
0,004	0,35	0,08
0,005	0,50	0,08
0,006	0,65	0,08
0,007	0,75	0,08
0,008	0,85	0,10
0,009	0,90	0,10
0,010	1,00	0,10
0,011	1,15	0,10
0,012	1,30	0,10
0,013	1,25	0,10
0,014	1,25	0,10
0,015	1,30	0,10
0,016	1,35	0,10
0,017	1,45	0,10
0,018	1,55	0,10
0,019	1,55	0,10
0,020	1,55	0,10
0,021	1,55	0,10
0,022	1,65	0,08
0,023	1,70	0,08
0,024	1,70	0,08
0,025	1,60	0,08
0,026	1,50	0,08
0,027	1,50	0,06
0,028	1,50	0,06
0,029	1,55	0,06
0,030	1,50	0,06
0,031	1,45	0,04
0,032	1,35	0,04
0,033	1,30	0,04
0,034	1,30	0,04
0,035	1,30	0,02
0,036	1,15	0,02
0,037	0,95	0,02
0,038	0,85	0,00
0,039	0,80	0,00
0,040	0,75	0,00
0,041	0,65	0,00
0,042	0,55	-0,02
0,043	0,45	-0,02
0,044	0,30	-0,02
0,045	0,25	-0,04
0,046	0,20	-0,04
0,047	0,10	-0,04
0,048	-0,10	-0,06
0,049	-0,30	-0,06
0,050	-0,40	-0,06
0,051	-0,45	-0,06
0,052	-0,55	-0,08
0,053	-0,65	-0,08
0,054	-0,75	-0,08
0,055	-0,90	-0,08
0,056	-1,00	-0,08
0,057	-1,00	-0,10
0,058	-1,05	-0,10
0,059	-1,20	-0,10
0,060	-1,40	-0,10
0,061	-1,50	-0,10
0,062	-1,55	-0,10
0,063	-1,55	-0,10
0,064	-1,60	-0,10
0,065	-1,70	-0,10
0,066	-1,75	-0,10
0,067	-1,80	-0,10
0,068	-1,80	-0,10
0,069	-1,75	-0,10
0,070	-1,80	-0,10
0,071	-1,90	-0,10
0,072	-2,00	-0,10
0,073	-2,00	-0,08
0,074	-1,95	-0,08
0,075	-1,90	-0,08
0,076	-1,85	-0,08
0,077	-1,85	-0,08
0,078	-1,85	-0,06
0,079	-1,80	-0,06
0,080	-1,70	-0,06
0,081	-1,55	-0,06
0,082	-1,60	-0,04
0,083	-1,65	-0,04
0,084	-1,60	-0,04
0,085	-1,50	-0,02
0,086	-1,40	-0,02
0,087	-1,30	-0,02
0,088	-1,20	-0,02
0,089	-1,15	0,00
0,090	-1,05	0,00
0,091	-0,90	0,00
0,092	-0,75	0,02
0,093	-0,65	0,02
0,094	-0,65	0,02
0,095	-0,60	0,04
0,096	-0,50	0,04
0,097	-0,35	0,04
0,098	-0,20	0,04
0,099	-0,05	0,06
0,100	0,00	0,06
0,101	0,10	0,06
0,102	0,25	0,06
0,103	0,40	0,08
0,104	0,60	0,08
0,105	0,60	0,08
0,106	0,60	0,08
0,107	0,65	0,08
0,108	0,75	0,10
0,109	0,90	0,10
0,110	1,00	0,10
0,111	1,10	0,10
0,112	1,15	0,10
0,113	1,20	0,10
0,114	1,30	0,10
0,115	1,45	0,10
0,116	1,55	0,10
0,117	1,45	0,10
0,118	1,45	0,10
0,119	1,45	0,10
0,120	1,50	0,10
0,121	1,60	0,10
0,122	1,60	0,08
0,123	1,60	0,08
0,124	1,60	0,08
0,125	1,60	0,08
0,126	1,65	0,08
0,127	1,70	0,08
0,128	1,60	0,06
0,129	1,50	0,06
0,130	1,40	0,06
0,131	1,35	0,06
0,132	1,35	0,04
0,133	1,30	0,04
0,134	1,25	0,04
0,135	1,15	0,02
0,136	1,10	0,02
0,137	1,00	0,02
0,138	1,00	0,00
0,139	0,95	0,00
0,140	0,75	0,00
0,141	0,60	0,00
0,142	0,45	-0,02
0,143	0,40	-0,02
0,144	0,35	-0,02
0,145	0,25	-0,04
0,146	0,10	-0,04
0,147	0,00	-0,04
0,148	-0,15	-0,06
0,149	-0,20	-0,06
0,150	-0,20	-0,06
0,151	-0,35	-0,06
0,152	-0,60	-0,08
0,153	-0,75	-0,08
0,154	-0,85	-0,08
0,155	-0,90	-0,08
0,156	-0,95	-0,08
0,157	-1,05	-0,10
0,158	-1,20	-0,10
0,159	-1,30	-0,10
0,160	-1,35	-0,10
0,161	-1,35	-0,10
0,162	-1,40	-0,10
0,163	-1,55	-0,10
0,164	-1,70	-0,10
0,165	-1,80	-0,10
0,166	-1,80	-0,10
0,167	-1,80	-0,10
0,168	-1,80	-0,10
0,169	-1,85	-0,10
0,170	-1,90	-0,10
0,171	-1,90	-0,10
0,172	-1,90	-0,10
0,173	-1,80	-0,08
0,174	-1,80	-0,08
0,175	-1,90	-0,08
0,176	-1,95	-0,08
0,177	-1,95	-0,08
0,178	-1,85	-0,06
0,179	-1,80	-0,06
0,180	-1,75	-0,06
0,181	-1,70	-0,06
0,182	-1,65	-0,04
0,183	-1,60	-0,04
0,184	-1,45	-0,04
0,185	-1,35	-0,02
0,186	-1,35	-0,02
0,187	-1,35	-0,02
0,188	-1,30	-0,02
0,189	-1,20	0,00
0,190	-1,05	0,00
0,191	-0,90	0,00
0,192	-0,85	0,02
0,193	-0,75	0,02
0,194	-0,65	0,02
0,195	-0,50	0,04
0,196	-0,30	0,04
0,197	-0,20	0,04
0,198	-0,20	0,04
0,199	-0,20	0,06
0,200	-0,05	0,06
0,201	0,10	0,06
0,202	0,25	0,06
0,203	0,35	0,08
0,204	0,45	0,08
0,205	0,55	0,08
0,206	0,65	0,08
0,207	0,80	0,08
0,208	0,95	0,10
0,209	0,95	0,10
0,210	0,95	0,10
0,211	1,00	0,10
0,212	1,10	0,10
0,213	1,25	0,10
0,214	1,30	0,10
0,215	1,40	0,10
0,216	1,40	0,10
0,217	1,45	0,10
0,218	1,50	0,10
0,219	1,65	0,10
0,220	1,65	0,10
0,221	1,60	0,10
0,222	1,55	0,08
0,223	1,55	0,08
0,224	1,60	0,08
0,225	1,60	0,08
0,226	1,60	0,08
0,227	1,60	0,06
0,228	1,55	0,06
0,229	1,50	0,06
0,230	1,50	0,06
0,231	1,55	0,04
0,232	1,40	0,04
0,233	1,25	0,04
0,234	1,15	0,04
0,235	1,10	0,02
0,236	1,10	0,02
0,237	1,05	0,02
0,238	0,95	0,00
0,239	0,85	0,00
0,240	0,75	0,00
0,241	0,65	0,00
0,242	0,65	-0,02
0,243	0,55	-0,02
0,244	0,35	-0,02
0,245	0,15	-0,04
0,246	0,05	-0,04
0,247	-0,05	-0,04
0,248	-0,10	-0,06
0,249	-0,20	-0,06
0,250	-0,35	-0,06
0,251	-0,45	-0,06
0,252	-0,55	-0,08
0,253	-0,65	-0,08
0,254	-0,65	-0,08
0,255	-0,80	-0,08
0,256	-1,00	-0,08
0,257	-1,15	-0,10
0,258	-1,25	-0,10
0,259	-1,30	-0,10
0,260	-1,35	-0,10
0,261	-1,40	-0,10
0,262	-1,50	-0,10
0,263	-1,60	-0,10
0,264	-1,65	-0,10
0,265	-1,60	-0,10
0,266	-1,65	-0,10
0,267	-1,75	-0,10
0,268	-1,90	-0,10
0,269	-1,95	-0,10
0,270	-1,90	-0,10
0,271	-1,90	-0,10
0,272	-1,90	-0,10
0,273	-1,90	-0,08
0,274	-1,95	-0,08
0,275	-1,90	-0,08
0,276	-1,85	-0,08
0,277	-1,75	-0,08
0,278	-1,75	-0,06
0,279	-1,80	-0,06
0,280	-1,85	-0,06
0,281	-1,75	-0,06
0,282	-1,65	-0,04
0,283	-1,60	-0,04
0,284	-1,50	-0,04
0,285	-1,45	-0,02
0,286	-1,40	-0,02
0,287	-1,30	-0,02
0,288	-1,15	-0,02
0,289	-1,00	0,00
0,290	-1,00	0,00
0,291	-1,00	0,00
0,292	-0,95	0,02
0,293	-0,80	0,02
0,294	-0,65	0,02
0,295	-0,50	0,04
0,296	-0,40	0,04
0,297	-0,30	0,04
0,298	-0,20	0,04
0,299	-0,05	0,06
0,300	0,10	0,06
0,301	0,20	0,06
0,302	0,20	0,06
0,303	0,25	0,08
0,304	0,35	0,08
0,305	0,50	0,08
0,306	0,65	0,08
0,307	0,75	0,08
0,308	0,85	0,08
0,309	0,90	0,10
0,310	1,00	0,10
0,311	1,15	0,10
0,312	1,30	0,10
0,313	1,30	0,10
0,314	1,25	0,10
0,315	1,25	0,10
0,316	1,35	0,10
0,317	1,45	0,10
0,318	1,50	0,10
0,319	1,55	0,10
0,320	1,55	0,10
0,321	1,55	0,10
0,322	1,60	0,08
0,323	1,70	0,08
0,324	1,70	0,08
0,325	1,60	0,08
0,326	1,50	0,08
0,327	1,50	0,06
0,328	1,50	0,06
0,329	1,50	0,06
0,330	1,50	0,06
0,331	1,45	0,06
0,332	1,35	0,04
0,333	1,30	0,04
0,334	1,30	0,04
0,335	1,30	0,02
0,336	1,15	0,02
0,337	0,95	0,02
0,338	0,85	0,00
0,339	0,80	0,00
0,340	0,75	0,00
0,341	0,65	0,00
0,342	0,55	-0,02
0,343	0,45	-0,02
0,344	0,30	-0,02
0,345	0,20	-0,04
0,346	0,20	-0,04
0,347	0,10	-0,04
0,348	-0,10	-0,06
0,349	-0,30	-0,06
0,350	-0,40	-0,06
0,351	-0,50	-0,06
0,352	-0,55	-0,08
0,353	-0,65	-0,08
0,354	-0,80	-0,08
0,355	-0,90	-0,08
0,356	-1,00	-0,08
0,357	-1,05	-0,10
0,358	-1,05	-0,10
0,359	-1,20	-0,10
0,360	-1,40	-0,10
0,361	-1,50	-0,10
0,362	-1,55	-0,10
0,363	-1,60	-0,10
0,364	-1,60	-0,10
0,365	-1,70	-0,10
0,366	-1,75	-0,10
0,367	-1,80	-0,10
0,368	-1,80	-0,10
0,369	-1,80	-0,10
0,370	-1,75	-0,10
0,371	-1,85	-0,10
0,372	-1,95	-0,10
0,373	-2,00	-0,08
0,374	-1,95	-0,08
0,375	-1,90	-0,08
0,376	-1,85	-0,08
0,377	-1,85	-0,08
0,378	-1,85	-0,06
0,379	-1,80	-0,06
0,380	-1,75	-0,06
0,381	-1,60	-0,06
0,382	-1,55	-0,04
0,383	-1,60	-0,04
0,384	-1,60	-0,04
0,385	-1,55	-0,02
0,386	-1,40	-0,02
0,387	-1,30	-0,02
0,388	-1,20	-0,02
0,389	-1,10	0,00
0,390	-1,05	0,00
0,391	-0,95	0,00
0,392	-0,75	0,02
0,393	-0,60	0,02
0,394	-0,60	0,02
0,395	-0,60	0,04
0,396	-0,50	0,04
0,397	-0,35	0,04
0,398	-0,20	0,04
0,399	-0,10	0,06
0,400	0,05	0,06
0,401	0,10	0,06
0,402	0,20	0,06
0,403	0,35	0,08
0,404	0,55	0,08
0,405	0,65	0,08
0,406	0,65	0,08
0,407	0,65	0,08
0,408	0,75	0,08
0,409	0,90	0,10
0,410	1,00	0,10
0,411	1,10	0,10
0,412	1,15	0,10
0,413	1,20	0,10
0,414	1,30	0,10
0,415	1,40	0,10
0,416	1,55	0,10
0,417	1,50	0,10
0,418	1,45	0,10
0,419	1,45	0,10
0,420	1,50	0,10
0,421	1,55	0,10
0,422	1,60	0,08
0,423	1,60	0,08
0,424	1,60	0,08
0,425	1,60	0,08
0,426	1,60	0,08
0,427	1,65	0,06
0,428	1,65	0,06
0,429	1,50	0,06
0,430	1,40	0,06
0,431	1,35	0,04
0,432	1,35	0,04
0,433	1,30	0,04
0,434	1,25	0,04
0,435	1,20	0,02
0,436	1,10	0,02
0,437	1,00	0,02
0,438	1,00	0,00
0,439	0,95	0,00
0,440	0,80	0,00
0,441	0,60	0,00
0,442	0,45	-0,02
0,443	0,40	-0,02
0,444	0,30	-0,02
0,445	0,25	-0,04
0,446	0,15	-0,04
0,447	0,00	-0,04
0,448	-0,15	-0,06
0,449	-0,20	-0,06
0,450	-0,25	-0,06
0,451	-0,35	-0,06
0,452	-0,55	-0,08
0,453	-0,75	-0,08
0,454	-0,85	-0,08
0,455	-0,95	-0,08
0,456	-1,00	-0,08
0,457	-1,05	-0,10
0,458	-1,15	-0,10
0,459	-1,30	-0,10
0,460	-1,35	-0,10
0,461	-1,40	-0,10
0,462	-1,40	-0,10
0,463	-1,50	-0,10
0,464	-1,65	-0,10
0,465	-1,80	-0,10
0,466	-1,80	-0,10
0,467	-1,80	-0,10
0,468	-1,80	-0,10
0,469	-1,85	-0,10
0,470	-1,90	-0,10
0,471	-1,90	-0,10
0,472	-1,90	-0,10
0,473	-1,85	-0,08
0,474	-1,80	-0,08
0,475	-1,85	-0,08
0,476	-1,95	-0,08
0,477	-1,95	-0,08
0,478	-1,90	-0,06
0,479	-1,80	-0,06
0,480	-1,75	-0,06
0,481	-1,70	-0,06
0,482	-1,65	-0,04
0,483	-1,60	-0,04
0,484	-1,50	-0,04
0,485	-1,35	-0,02
0,486	-1,30	-0,02
0,487	-1,30	-0,02
0,488	-1,30	-0,02
0,489	-1,20	0,00
0,490	-1,05	0,00
0,491	-0,95	0,00
0,492	-0,85	0,02
0,493	-0,75	0,02
0,494	-0,65	0,02
0,495	-0,55	0,04
0,496	-0,35	0,04
0,497	-0,20	0,04
0,498	-0,15	0,04
0,499	-0,15	0,06
0,500	-0,05	0,06
